X,Y,Z,Mixed,ClassLabel
0.1313982,0.36003113,-0.13755798,0.40719786,1.0
0.0775156,0.40483093,-0.14633942,0.43739223,1.0
0.11355305,0.4146576,-0.11773682,0.4457546,1.0
0.1409626,0.602829,0.058467865,0.6218454,1.0
0.20147991,-0.7833252,0.49045563,0.9459066,1.0
0.22706413,-0.65605164,0.3225975,0.76552665,1.0
0.19299316,-0.16119385,-0.01071167,0.25168344,1.0
0.06846428,0.07975769,-0.08760834,0.13683519,1.0
0.03281212,0.10139465,-0.16439056,0.19591266,1.0
-0.06337166,0.07936096,-0.1506195,0.18166003,1.0
-0.05843544,0.21665955,-0.17399979,0.28395772,1.0
-0.1624527,0.18847656,-0.13232422,0.28182262,1.0
0.002033234,0.54507446,-0.16601562,0.56979954,1.0
-0.02366829,0.39822388,-0.116695404,0.4156444,1.0
0.014347076,0.15948486,-0.001617432,0.16013706,1.0
0.13662529,0.11784363,0.008712769,0.18063639,1.0
0.25203514,-0.19779968,0.1580162,0.35723317,1.0
0.11314583,-0.37823486,0.1906662,0.4384258,1.0
-0.11923599,-0.38911438,0.18139267,0.44556764,1.0
-0.13816643,-0.34858704,0.14727783,0.40285686,1.0
-0.009508133,0.046554565,0.01002121,0.048560858,1.0
0.033950806,0.28198242,-0.035598755,0.28624117,1.0
0.17835617,0.15623474,0.010242462,0.23732916,1.0
0.4242344,0.19004822,-0.04273224,0.46681815,1.0
0.44819832,0.24732971,-0.040294647,0.51349527,1.0
-0.09258461,0.27235413,-0.27735138,0.39959037,1.0
0.042562485,0.45188904,-0.44698334,0.6370317,1.0
0.043273926,0.4899292,-0.33382416,0.5944256,1.0
0.05230713,0.3199005,-0.23469543,0.40019286,1.0
0.030136108,0.05091858,-0.07795334,0.09786526,1.0
-0.054323196,-0.022781372,0.03396988,0.06799965,1.0
0.083646774,0.71165466,-0.19721222,0.7431971,1.0
0.05695343,-0.3367157,0.2642784,0.43181503,1.0
0.2019043,-0.48007202,0.3233223,0.6130023,1.0
0.110702515,-0.44900513,0.30176163,0.55219626,1.0
-0.05269432,-0.52786255,0.39144135,0.65927374,1.0
-0.5368576,-0.1211853,-0.30055237,0.6270835,1.0
-0.13028717,0.569046,-0.5032387,0.7707381,1.0
-0.019952774,0.64875793,-0.6017761,0.8851099,1.0
0.04043007,0.48963928,-0.40774918,0.63846743,1.0
0.44348717,0.20510864,0.1656189,0.51592636,1.0
0.07229233,-0.4096985,0.5159607,0.6627929,1.0
-0.16344452,-0.5192108,0.20640564,0.58214885,1.0
-0.4364357,-0.6344147,-0.012226105,0.7701348,1.0
-0.2974434,0.25352478,-0.3575592,0.5297131,1.0
-0.17681694,0.4053192,-0.29992676,0.5343257,1.0
-0.09135628,0.13652039,-0.22266388,0.27670017,1.0
-0.06543541,0.20957947,-0.0463295,0.224392,1.0
-0.006095886,0.09249878,-0.116996765,0.14926964,1.0
0.10200691,0.27059937,-0.10191345,0.3066199,1.0
0.31365395,-0.5198364,0.51091766,0.7935021,1.0
0.014047623,-0.7186737,0.42505264,0.8350802,1.0
-0.09995651,-0.39912415,0.2723503,0.4934228,1.0
-0.094244,-0.47538757,0.23836517,0.5400863,1.0
-0.3639393,0.6281433,-0.61678696,0.9525975,1.0
0.031621933,0.4305725,-0.19706726,0.47458208,1.0
0.27875137,-0.002258301,0.21294022,0.3507862,1.0
0.030611038,-0.6158447,0.4121933,0.7416907,1.0
0.020736694,-0.13737488,0.11417389,0.17982644,1.0
-0.04559326,-0.084991455,0.056503296,0.11178066,1.0
-0.16865349,0.0811615,0.008033752,0.18733855,1.0
-0.16648293,0.25050354,-0.12279129,0.32487887,1.0
0.015861511,0.18614197,-0.09616089,0.21011268,1.0
0.10298729,0.36740112,-0.24829483,0.45523652,1.0
0.023712158,0.64819336,-0.22240448,0.6856972,1.0
0.10468674,0.3438263,-0.1076355,0.37518162,1.0
0.1657753,0.20024109,-0.0741272,0.2703198,1.0
0.16534996,0.028259277,0.055027008,0.17654225,1.0
0.027547836,0.051956177,0.079639435,0.09899882,1.0
0.011762619,0.048690796,0.040802002,0.06460616,1.0
-0.03466034,0.19917297,0.10680771,0.22864623,1.0
-0.05483055,0.13238525,0.02022171,0.14471062,1.0
0.005184174,0.20845032,0.017986298,0.20928907,1.0
0.07782364,0.18362427,-0.052906036,0.20633331,1.0
